wavelength (nm),reflect
693,0.5697604777330976
694,0.5715261563165165
695,0.573327341349867
696,0.5750139808149016
697,0.5767515232505143
698,0.5784666245996539
699,0.5801054188340485
700,0.5817825084828913
701,0.5833671188740059
702,0.5848579116657423
703,0.5863373783757067
704,0.5877160148621131
705,0.5890592729560759
706,0.5904026353717309
707,0.5916894818958054
708,0.5930815432493148
709,0.5945178680870598
710,0.5959356756841669
711,0.5974355566479548
712,0.5990756315366688
713,0.6008567464128389
714,0.6027286269442776
715,0.6046325348572387
716,0.6066312797927574
717,0.6087845308085943
718,0.6110506853042856
719,0.6133290429454556
720,0.6155406227179572
721,0.6176084855214102
722,0.6195948294218518
723,0.6214946383587799
724,0.6235035002882027
725,0.6256856340958284
726,0.6277129860012021
727,0.629632904027042
728,0.6315045087248488
729,0.6332863789273325
730,0.635019188473881
731,0.6367398037580292
732,0.6384600764945761
733,0.640146361783117
734,0.6418242584828249
735,0.6435121050779748
736,0.6452029860308354
737,0.6468031291782651
738,0.6483330408621409
739,0.6498181526214656
740,0.6512857978218971
741,0.6526671628680768
742,0.6540194252385775
743,0.6553807133667101
744,0.656721475047124
745,0.6580704678734703
746,0.6594349187475526
747,0.6608089542470105
748,0.6622008044277475
749,0.6636034118512822
750,0.6649750681497081
751,0.6662565271767197
752,0.6674930712505998
753,0.6686226722707643
754,0.669653838195586
755,0.6706854338710836
756,0.6716022011878338
757,0.6724319712843377
758,0.6732293015656422
759,0.6740330266340167
760,0.6749090363031048
761,0.6759052609536014
762,0.6765252952323995
763,0.6769332370049496
764,0.6769237687891826
765,0.6766864900738566
766,0.676425069923593
767,0.6761557086442661
768,0.6759558151865622
769,0.6758003847978682
770,0.6755844016054726
771,0.6753681004446854
772,0.6751011807613774
773,0.6747491555304352
774,0.6743844300982768
775,0.6740197443758693
776,0.6736314516125179
777,0.6731780960116069
778,0.6726269113598689
779,0.6720642430484337
780,0.6714934226106165
781,0.670852084441273
782,0.6702759076845702
783,0.6696295957154406
784,0.6688748336302287
785,0.6681849562206814
786,0.6673913896364699
787,0.6666184689970593
788,0.6659459441835003
789,0.6651094906271107
