wave,Re,Im
6.41E+00,1.3194,6.03E-02
6.45E+00,1.3201,5.96E-02
6.49E+00,1.3207,5.90E-02
6.58E+00,1.3214,5.78E-02
6.67E+00,1.3219,5.70E-02
6.76E+00,1.3229,5.68E-02
6.90E+00,1.3242,5.43E-02
7.04E+00,1.3244,5.16E-02
7.14E+00,1.3236,4.94E-02
7.25E+00,1.3229,4.84E-02
7.35E+00,1.3218,4.60E-02
7.46E+00,1.32,4.44E-02
7.58E+00,1.3183,4.29E-02
7.69E+00,1.3158,4.04E-02
7.81E+00,1.3123,3.91E-02
7.94E+00,1.3086,3.82E-02
8.07E+00,1.3047,3.76E-02
8.20E+00,1.3007,3.72E-02
8.33E+00,1.2964,3.70E-02
8.48E+00,1.2917,3.68E-02
8.70E+00,1.2835,3.65E-02
8.93E+00,1.2735,3.66E-02
9.09E+00,1.2655,3.71E-02
9.26E+00,1.2561,3.79E-02
9.52E+00,1.2387,4.03E-02
9.80E+00,1.2151,4.45E-02
1.00E+01,1.1926,5.01E-02
1.02E+01,1.1659,6.46E-02
1.03E+01,1.1501,7.50E-02
1.04E+01,1.1323,8.80E-02
1.05E+01,1.1136,1.08E-01
1.06E+01,1.0971,1.34E-01
1.08E+01,1.0867,1.68E-01
1.09E+01,1.0833,2.04E-01
1.10E+01,1.0886,2.48E-01
1.11E+01,1.1023,2.80E-01
1.14E+01,1.1439,3.41E-01
1.16E+01,1.1983,3.79E-01
1.19E+01,1.2546,4.09E-01
1.22E+01,1.3194,4.22E-01
1.25E+01,1.3822,4.22E-01
1.28E+01,1.4412,4.03E-01
1.30E+01,1.4683,3.89E-01
1.32E+01,1.4928,3.74E-01
1.33E+01,1.5132,3.54E-01
1.35E+01,1.53,3.35E-01
1.37E+01,1.5458,3.15E-01
1.39E+01,1.5596,2.94E-01
1.41E+01,1.5701,2.71E-01
1.43E+01,1.5775,2.46E-01
1.47E+01,1.5762,1.98E-01
1.52E+01,1.5637,1.64E-01
1.54E+01,1.5559,1.52E-01
1.56E+01,1.5481,1.42E-01
1.61E+01,1.5353,1.28E-01
1.64E+01,1.5302,1.25E-01
1.67E+01,1.5294,1.23E-01
1.70E+01,1.5306,1.16E-01
1.72E+01,1.5303,1.07E-01
1.82E+01,1.5141,7.90E-02
1.83E+01,1.5104,7.75E-02
1.86E+01,1.5043,7.46E-02
1.89E+01,1.4982,7.20E-02
1.92E+01,1.4939,7.60E-02
1.96E+01,1.4963,7.50E-02
2.00E+01,1.4986,6.70E-02
2.04E+01,1.4956,5.50E-02
2.08E+01,1.4877,4.50E-02
2.22E+01,1.4575,2.90E-02
2.26E+01,1.4486,2.75E-02
2.31E+01,1.439,2.70E-02
2.36E+01,1.4282,2.73E-02
2.46E+01,1.4102,2.89E-02
2.50E+01,1.403,3.00E-02
2.60E+01,1.3854,3.40E-02
2.86E+01,1.3404,5.12E-02
3.10E+01,1.2969,8.62E-02
3.33E+01,1.2641,1.35E-01
3.45E+01,1.253,1.62E-01
3.56E+01,1.2445,1.90E-01
3.70E+01,1.2371,2.23E-01
3.82E+01,1.2317,2.53E-01
3.96E+01,1.2243,2.85E-01
4.11E+01,1.2054,3.24E-01
4.28E+01,1.1742,3.95E-01
4.36E+01,1.1549,4.52E-01
4.46E+01,1.1496,5.54E-01
4.55E+01,1.1853,6.78E-01
4.62E+01,1.2543,7.68E-01
4.67E+01,1.3474,8.25E-01
4.74E+01,1.4725,8.46E-01
4.80E+01,1.5874,8.16E-01
4.88E+01,1.6841,7.41E-01
5.00E+01,1.7505,6.19E-01
5.13E+01,1.7649,5.35E-01
5.28E+01,1.7668,4.78E-01
5.35E+01,1.7687,4.60E-01
5.42E+01,1.7792,4.47E-01
5.50E+01,1.7955,4.21E-01
5.57E+01,1.8052,3.86E-01
5.64E+01,1.8041,3.51E-01
5.70E+01,1.794,3.20E-01
5.75E+01,1.7805,2.98E-01
5.84E+01,1.741,2.66E-01
5.93E+01,1.693,2.57E-01
6.00E+01,1.661,2.79E-01
6.10E+01,1.6419,3.08E-01
6.13E+01,1.6396,3.15E-01
6.25E+01,1.6372,3.47E-01
6.38E+01,1.6471,3.75E-01
6.47E+01,1.6596,3.90E-01
6.56E+01,1.6754,4.02E-01
6.66E+01,1.6945,4.12E-01
6.76E+01,1.7167,4.17E-01
6.90E+01,1.7466,4.17E-01
7.05E+01,1.778,4.09E-01
7.30E+01,1.8185,3.83E-01
7.50E+01,1.8419,3.54E-01
7.63E+01,1.8504,3.34E-01
8.00E+01,1.8617,2.94E-01
8.30E+01,1.8669,2.68E-01
8.50E+01,1.8688,2.52E-01
8.68E+01,1.8699,2.39E-01
9.08E+01,1.8698,2.14E-01
9.52E+01,1.8681,1.91E-01
1.00E+02,1.8654,1.71E-01
1.20E+02,1.8499,1.15E-01
1.60E+02,1.8268,6.68E-02
2.10E+02,1.8114,4.28E-02
3.00E+02,1.7989,2.55E-02
5.00E+02,1.7908,1.41E-02
1.30E+03,1.7868,5.17E-03
5.00E+03,1.7861,1.34E-03
1.90E+04,1.7861,3.57E-04
3.90E+04,1.7861,1.84E-04
6.10E+04,1.7861,1.29E-04
8.60E+04,1.7861,1.06E-04
1.10E+05,1.7861,9.68E-05
1.40E+05,1.7861,9.36E-05
1.80E+05,1.7861,9.61E-05
2.40E+05,1.7861,1.07E-04
3.40E+05,1.7861,1.31E-04
5.40E+05,1.7861,1.90E-04
1.00E+06,1.7861,3.35E-04
2.00E+06,1.7861,6.60E-04
